method,action,sample,time_s,rx,ry,rz,vx,vy,vz,ux,uy,uz
adaptive_rollout_adp,6,0,453.0,-1.9598408849290292,17.175139686962854,40.78035750070865,-0.0032383299703878004,0.04983281621971648,-0.1501590033150535,-0.0011283052292253024,0.01660721122662856,-0.05000061043243964
adaptive_rollout_adp,6,1,456.0,-1.973503280925175,17.394273844437237,40.12015250252516,-0.005817434661913864,0.09625954000644012,-0.28997723961269084,-0.0010174327939400539,0.015465269809415566,-0.046554258082095366
adaptive_rollout_adp,6,2,459.0,-1.993978243651773,17.747570331238578,39.056008387583375,-0.007783915088364898,0.13927367600237983,-0.41945148930173365,-0.0009143497646056892,0.014322602205271366,-0.04310736943119115
adaptive_rollout_adp,6,3,462.0,-2.0194978340140732,18.224782274425507,37.61896161746314,-0.009184397133464004,0.17886920391244554,-0.5385787710759762,-0.0008190573287287593,0.013179261294322096,-0.03965998418755162
adaptive_rollout_adp,6,4,465.0,-2.0484340254519844,18.815645453004983,35.840057240166445,-0.01006552966754435,0.21504057868994722,-0.6473563419656914,-0.0007315565840689264,0.012035299964450321,-0.03621214206472202
adaptive_rollout_adp,6,5,468.0,-2.0792987700743333,19.509879723937303,33.75034817503621,-0.01047398266376832,0.24778273070768048,-0.7457816973850192,-0.000651848538626325,0.010890771110685791,-0.03276388278151085
adaptive_rollout_adp,6,6,471.0,-2.110744059141147,20.29719044863247,31.38089449753911,-0.010456445313929362,0.27709106591439536,-0.8338525711752366,-0.0005799341106299447,0.00974572763459607,-0.029315246061532234
adaptive_rollout_adp,6,7,474.0,-2.1415619778927604,21.16726991989403,28.762762723924734,-0.010059624143873786,0.30296146597664525,-0.9115669356439069,-0.0005158141285270556,0.00860022244367711,-0.025866271632748343
adaptive_rollout_adp,6,8,477.0,-2.1706847547246686,22.109798789266506,25.927025095773505,-0.009330241128579707,0.325390288406013,-0.9789230015999102,-0.00045948933097366253,0.007454308450743796,-0.022416999227011736
adaptive_rollout_adp,6,9,480.0,-2.1971848047071476,23.11444749474261,22.90475886444568,-0.008315031806930395,0.3443743666717124,-1.0359192183843526,-0.00041096036682599854,0.006308038573320348,-0.018967468579607606
adaptive_rollout_adp,6,10,483.0,-2.2202747674487844,24.170877688786273,19.72704557544379,-0.007060743396219222,0.35991101029856265,-1.082554273897354,-0.00037022779513304566,0.005161465733030755,-0.015517719428796081
