method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
safe_graph_adp,72.0,-21.670237399973054,-40.71764689976296,6.319913729367887,-0.26112602411273644,-0.05601936754485044,-0.04382596040214764,0.01059303201217089,0.002059682229757614,0.0017671241364850588
safe_graph_adp,74.0,-22.170093157692424,-40.82410587048389,6.236050162969145,-0.23872617765547957,-0.05045649812842712,-0.04003757021508764,0.011404554504137559,0.0022159145723124963,0.0019022300426274814
safe_graph_adp,76.0,-22.62350267269455,-40.91923784008189,6.1600337773864196,-0.21467957108068403,-0.044693608481047635,-0.03597878293423664,0.012216950881215799,0.0023684724179863907,0.002037326209428489
safe_graph_adp,78.0,-23.027169437313134,-41.00265758184916,6.092405325395143,-0.1889832239125192,-0.038745514604823776,-0.03164964020246143,0.013030216983968787,0.0025173518214514135,0.0021724119452011335
safe_graph_adp,80.0,-23.377791033007245,-41.0740095223476,6.033705473717506,-0.16163420576062232,-0.03262705372958906,-0.027050186430103734,0.013844348648506742,0.0026625488562131566,0.0023074865583118734
safe_graph_adp,82.0,-23.67205923059164,-41.132967783599845,5.984474797487842,-0.13262963637941833,-0.02635308404839707,-0.02218046879463897,0.014659341706508238,0.002804059614630792,0.002442549357184114
safe_graph_adp,84.0,-23.90666009058526,-41.1792362247509,5.945253774718719,-0.10196668572696957,-0.019938484452712416,-0.017040537240313704,0.015475191985241558,0.0029418802079370777,0.0025775996503017507
safe_graph_adp,86.0,-24.078274063676954,-41.21254848319991,5.916582780767784,-0.06964257402335483,-0.013398154267296587,-0.011630444477761886,0.016291895307586037,0.003076006766258271,0.002712636746212707
safe_graph_adp,88.0,-24.183576091307497,-41.23266801520138,5.899002082805385,-0.03565457180857718,-0.006747012984791064,-0.005950245983599839,0.017109447492053474,0.003206435438633937,0.002847659953532476
safe_graph_adp,90.0,-24.21923570636694,-41.239388135935236,5.8930518342830345,-6.938893903907228e-18,8.673617379884035e-19,5.204170427930421e-18,0.01792784435280952,0.0033331623930366707,0.0029826685809476584
safe_graph_adp,92.0,-24.21951147761232,-41.223876488146125,5.885091574828841,-0.00026407187909350296,0.015511846963751404,-0.00796025605784034,-5.658376490523206e-05,0.007755611483484657,-0.003972588374881012
safe_graph_adp,94.0,-24.22021147020486,-41.178044013439546,5.861572069512459,-0.0004247520822849214,0.030320748934901023,-0.015559239223628868,-3.9189959815698404e-05,0.007403659037297833,-0.003791972152826049
safe_graph_adp,96.0,-24.22113527265661,-41.10329721030334,5.823215942162254,-0.000488412672234882,0.04442610221691475,-0.022796871761419882,-2.338968043639274e-05,0.007051631481718432,-0.003611336516025971
safe_graph_adp,98.0,-24.22209521892696,-41.00104374135656,5.770745968378757,-0.0004614270173077967,0.057827346376073764,-0.029673079635061217,-9.183007664111597e-06,0.006699536028379978,-0.003430682389327978
safe_graph_adp,100.0,-24.22291639091982,-40.87269234681745,5.704885068134501,-0.00035016967734852823,0.07052396424782024,-0.03618779250876264,3.4299857635516212e-06,0.006347379889263635,-0.0032500106976739458
safe_graph_adp,102.0,-24.223436620752366,-40.719652757959274,5.626356298372754,-0.00016101628944922952,0.08251548194251229,-0.04234094374763582,1.4449235268576685e-05,0.005995170276661267,-0.0030693223660956765
safe_graph_adp,104.0,-24.223506492795284,-40.543335610555204,5.535882845605207,9.965654629264287e-05,0.0938014688505881,-0.04813247041820591,2.3874684432848947e-05,0.005642914403138529,-0.0028886183197101723
safe_graph_adp,106.0,-24.222989345484525,-40.34515235831354,5.434188018508652,0.00042547138102413365,0.10438153764713914,-0.05356231328889466,3.1706284998447853e-05,0.0052906194814979195,-0.0027078994837148934
safe_graph_adp,108.0,-24.221761272904576,-40.12651518630431,5.321995240520738,0.0008100500313934051,0.11425534429589256,-0.05863041683047513,3.794399686789186e-05,0.004938292724741873,-0.002527166783383018
