goal_coverage,requirement,scenario_id,scenario_seed,available_node_count,static_upper_bound,static_visible_target_count,required_target_count,required_targets_available,sentinel_target_count,sentinels_available,structurally_feasible,status,success,coverage,unweighted_inspectable_coverage,whole_surface_coverage,required_targets_covered,required_targets_covered_count,sentinels_covered,sentinels_covered_count,selected_count,graph_cost,total_delta_v,min_clearance,peak_input,online_time_s,safe_action_evaluations,shield_rejections,route_node_ids
0.98,coverage_only,test_021,20764,23,1.0,41,0,True,6,True,True,success,True,0.9801490903529313,0.975609756097561,0.4444444444444444,True,0,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.6655509889824316,178693,107041,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_021,20764,23,1.0,41,6,True,6,True,True,success,True,0.9801490903529313,0.975609756097561,0.4444444444444444,True,6,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.6873190620099194,178693,107041,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_022,20765,23,0.9804918570035113,40,0,True,6,True,True,success,True,0.9804918570035113,0.975609756097561,0.4444444444444444,True,0,True,6,13,171.2157170856973,20.782183936245268,1.7220589665880237,0.055184359871914224,0.9259497780003585,225858,137590,cand_0052;cand_0055;cand_0062;cand_0045;cand_0066;cand_0009;cand_0016;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_022,20765,23,0.9804918570035113,40,6,True,6,True,True,success,True,0.9804918570035113,0.975609756097561,0.4444444444444444,True,6,True,6,13,171.2157170856973,20.782183936245268,1.7220589665880237,0.055184359871914224,0.8603922580077779,225858,137590,cand_0052;cand_0055;cand_0062;cand_0045;cand_0066;cand_0009;cand_0016;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_023,20766,23,0.9779068269364404,40,0,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.98,six_spatial_sentinels,test_023,20766,23,0.9779068269364404,40,6,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.98,coverage_only,test_024,20767,24,1.0,41,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.3163054310134612,86788,51187,
0.98,six_spatial_sentinels,test_024,20767,24,1.0,41,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.3153079110197723,86788,51187,
0.98,coverage_only,test_025,20769,23,1.0,41,0,True,6,True,True,success,True,0.9802525683450789,0.975609756097561,0.4444444444444444,True,0,True,6,14,160.1713556271325,19.429444072640866,0.8473828811905011,0.059166450822183185,0.5091662219783757,127190,75359,cand_0021;cand_0016;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_025,20769,23,1.0,41,6,True,6,True,True,success,True,0.9802525683450789,0.975609756097561,0.4444444444444444,True,6,True,6,14,160.1713556271325,19.429444072640866,0.8473828811905011,0.059166450822183185,0.49471530999289826,127190,75359,cand_0021;cand_0016;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_026,20770,23,0.9800543133478449,40,0,True,6,True,True,success,True,0.9800543133478449,0.975609756097561,0.4444444444444444,True,0,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.5957580580143258,155079,93186,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_026,20770,23,0.9800543133478449,40,6,True,6,True,True,success,True,0.9800543133478449,0.975609756097561,0.4444444444444444,True,6,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.6149295450013597,155079,93186,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_027,20771,23,0.9803202092472886,40,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.3410802549915388,77033,42875,
0.98,six_spatial_sentinels,test_027,20771,23,0.9803202092472886,40,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.3114155200019013,77033,42875,
0.98,coverage_only,test_028,20772,24,1.0,41,0,True,6,True,True,success,True,0.9801925165870463,0.975609756097561,0.4444444444444444,True,0,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.7443943620019127,200834,118075,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_028,20772,24,1.0,41,6,True,6,True,True,success,True,0.9801925165870463,0.975609756097561,0.4444444444444444,True,6,True,6,14,154.59000840681514,18.750604388520077,0.8473828811905011,0.0514317555366367,0.7528184620023239,200834,118075,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_029,20774,24,1.0,41,0,True,6,True,True,success,True,0.9807364457765287,0.975609756097561,0.4444444444444444,True,0,True,6,13,171.76204972949043,20.84641996182376,1.149157587355644,0.048074778454512024,1.052611346996855,275714,165227,cand_0016;cand_0009;cand_0045;cand_0063;cand_0062;cand_0052;cand_0066;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_029,20774,24,1.0,41,6,True,6,True,True,success,True,0.9807364457765287,0.975609756097561,0.4444444444444444,True,6,True,6,13,171.76204972949043,20.84641996182376,1.149157587355644,0.048074778454512024,1.0795017539930996,275714,165227,cand_0016;cand_0009;cand_0045;cand_0063;cand_0062;cand_0052;cand_0066;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
