target_id,position_x,position_y,position_z,candidate_observable,graph_bit_index,required06,required09,required12
mesh_00054,-6.531528742119678,-1.2106989525416452,-48.242415046691896,False,-1,False,False,False
mesh_00055,5.919367494207808,4.84780349108496,-44.972298885583875,True,28,True,True,True
mesh_00056,3.43333747878073,5.101502202331083,-47.15917153596879,False,-1,False,False,False
mesh_00057,20.778130900733448,-23.31137116630394,-41.482776293754576,False,-1,False,False,False
mesh_00058,16.032290866991627,-15.091696176721463,-39.758289538621895,False,-1,False,False,False
mesh_00059,23.2825708853252,-27.647872935913814,-39.75828767657279,True,29,False,True,True
mesh_00060,9.547813961707208,-3.858208558136331,-41.48278391122818,True,30,False,False,False
mesh_00061,3.843593654436128,9.427001609055276,-33.79251180648804,False,-1,False,False,False
mesh_00062,-1.3817808073580835,17.9786682108031,-33.792493397593496,False,-1,False,False,False
mesh_00063,-8.011119237715803,29.461380529015077,-41.48280342042446,False,-1,False,False,False
mesh_00064,-4.119169327166483,22.722004576340908,-32.06800973176956,True,31,False,False,True
mesh_00065,1.933689027365058,12.237786408386569,-39.75831082522868,True,32,False,False,False
mesh_00066,6.263797099319841,6.53565097914592,-28.838666896894576,False,-1,False,False,False
mesh_00067,5.139133061178396,6.69043361337378,-30.142716681361197,False,-1,False,False,False
mesh_00068,7.403813201189041,-0.22809208571910855,-26.70257118821144,True,33,False,False,False
mesh_00069,3.9133375364542005,10.50834026619792,-26.76608614861965,False,-1,False,False,False
mesh_00070,7.167194496393203,11.571304655075073,-27.59617538191378,True,34,False,False,False
mesh_00071,4.066746038347483,5.906345420181751,-25.34646180181764,True,35,False,False,False
mesh_00072,5.106245408132672,6.0555915070325135,-17.292473497465252,True,36,False,False,False
mesh_00073,5.603570353686809,3.005369427204132,-17.58158984661102,True,37,False,False,False
mesh_00074,4.5836758059263225,3.571320589184761,1.486282346248627,False,-1,False,False,False
mesh_00075,4.595776668260805,7.088754768073559,-1.5070189714431763,False,-1,False,False,False
mesh_00076,4.458939585760235,3.53054571300745,3.636085830926895,False,-1,False,False,False
mesh_00077,21.131422643065452,-0.6551686632633209,0.30220790326595304,False,-1,False,False,False
mesh_00078,17.994614269584417,-1.4749997035256819,2.6157933336496355,False,-1,False,False,False
mesh_00079,18.808736490011214,1.4916292202059411,-18.484782857894896,True,38,False,True,True
mesh_00080,19.85669696331024,1.6224342974607133,-13.148796768188475,False,-1,False,False,False
mesh_00081,16.073616977035996,-1.6473434785421706,-2.49468671798706,False,-1,False,False,False
mesh_00082,18.108527144193648,2.0793787139654154,0.4859354524314403,False,-1,False,False,False
mesh_00083,9.514484285116195,0.4226029152153475,2.393585407733917,False,-1,False,False,False
mesh_00084,2.303380216360092,2.6424838291108608,3.6123397111892697,False,-1,False,False,False
mesh_00085,-0.901566414867193,0.9015662164489914,-10.177162338495256,False,-1,False,False,False
mesh_00086,0.42263786368876605,2.3931782102830765,-4.040506010651588,False,-1,False,False,False
mesh_00087,2.2842072468996046,-7.679490078687667,0.8311401950025173,True,39,False,False,False
mesh_00088,-1.9549000120162965,1.027708890736103,2.2026487767696383,True,40,False,False,False
mesh_00089,-12.28040613571182,2.161306496672332,3.8460197705589234,False,-1,False,False,False
