scenario_id,split,scenario_seed,method,action,candidate_id,sample,time,rx,ry,rz,vx,vy,vz,ax,ay,az
ood_017,ood,30777,local_search,10,cand_0021,22,879.0,38.51338531467091,30.13435197009723,39.991518907152205,-0.1178471382538524,0.1852467432879559,-0.020587850460933893,0.003375386567424705,-0.005839126264131272,0.0006908373313610501
ood_017,ood,30777,local_search,10,cand_0021,23,882.0,38.179656862524936,30.661482715123157,39.93301707420799,-0.10466073266589007,0.16615883475089666,-0.018413334061019998,0.0038506462081519146,-0.006614349007099199,0.0007759894277143401
ood_017,ood,30777,local_search,10,cand_0021,24,885.0,37.88739503495109,31.127708204558843,39.88142225874495,-0.09020539048249318,0.14464180392997644,-0.015983176560605893,0.004320765634023283,-0.007392780464200381,0.0008611325847443178
ood_017,ood,30777,local_search,10,cand_0021,25,888.0,37.640359429304105,31.525713975553483,39.83750129816732,-0.07451259983636076,0.12067762245030257,-0.013297435715307093,0.0047857394293083985,-0.00817438572421369,0.0009462658216100313
ood_017,ood,30777,local_search,10,cand_0021,26,891.0,37.44221503636897,31.848131958340232,39.80202084778261,-0.057613943462123104,0.0942485808497679,-0.01035617516720894,0.005245562237554015,-0.008959129839356098,0.0010313881575848083
ood_017,ood,30777,local_search,10,cand_0021,27,894.0,37.29653195843555,32.08754143409628,39.775747363143836,-0.039541097442430326,0.06533728932545066,-0.00715946444375673,0.005700228761645762,-0.009746977825685265,0.0011164986120675545
ood_017,ood,30777,local_search,10,cand_0021,28,897.0,37.20678513113794,32.23646999502755,39.759447082395255,-0.020325829952050196,0.033926678470286784,-0.003707378956544138,0.006149733763869163,-0.010537894663502557,0.0012015962045940484
ood_017,ood,30777,local_search,10,cand_0021,29,900.0,37.176354049064464,32.28739450664881,39.75388600862186,-7.979727989493313e-17,-1.6653345369377348e-16,1.691355389077387e-17,0.006594072065969979,-0.01133184529775647,0.0012866799548482376
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,0,3.0,0.14254563820889646,-34.822182485098324,10.101513565648903,0.09516469509052151,0.11843734387430913,0.06767564546433895,0.03158726483072951,0.03958662887922787,0.022571391705336976
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,1,6.0,0.5622702827205337,-34.3025554641706,10.399063503081099,0.184776359293861,0.22787928652536824,0.1306907890599771,0.02947736173519909,0.036797222528019174,0.021018147972532215
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,2,9.0,1.2423478109257293,-33.46798349625484,10.878666114804119,0.26872369889786274,0.328407050288211,0.18904397847882853,0.027349591019375848,0.034022199279135294,0.01946466211269137
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,3,12.0,2.1656188675330554,-32.345085796197665,11.52633350748698,0.3468958531178372,0.42010297513225964,0.24273386880598796,0.02520397719497309,0.031261680338476046,0.017910952021821625
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,4,15.0,3.314592169893885,-30.960232886926065,12.3280739141749,0.41918239845692384,0.5030505152064579,0.2917592225429733,0.023040544979254986,0.02851578674485302,0.01635703559851327
ood_018,ood,30779,adaptive_rollout_adp,1,cand_0015,5,18.0,4.671445826394584,-29.33954326213434,13.269892016570953,0.48547335305714534,0.5773342353506534,0.3361189096291124,0.02085931929475186,0.02578463936859521,0.014802930743733508
