split,scenario_id,scenario_seed,method,success,coverage,graph_cost,penalized_cost,selected_count,online_time_s,safe_action_evaluations,shield_rejections,policy_source,total_delta_v,min_clearance,peak_input
validation,validation_003,10735,adaptive_rollout_adp,True,0.801913205415704,103.59373208556153,103.59373208556153,10,1.6050440410035662,621012,380225,adaptive_rollout_adp,12.560442464084518,1.0871041962737076,0.0585962290483111
validation,validation_003,10735,frozen_adp,True,0.8239228492584035,171.55428729210587,171.55428729210587,12,0.11847604101058096,3726,2103,learned_adp,20.824599908278028,3.043484822370052,0.05858419313244918
validation,validation_003,10735,search_only,False,0.7799035615730043,124.86000323183575,384.9082224453336,10,0.11256433301605284,3566,2043,learned_adp,15.149076070707302,1.0871041962737076,0.055540358114866184
validation,validation_003,10735,incumbent,True,0.8459324931011031,129.57537800186512,129.57537800186512,10,0.00010000000474974513,10,0,reference_safeguard,15.721544899150377,1.7781803100982474,0.05941307125935591
validation,validation_003,10735,rollout,True,0.801913205415704,116.56177746179854,116.56177746179854,10,0.0033124579931609333,362,155,rollout_adp,14.139549195340948,1.8070093861576633,0.043531419436650544
validation,validation_003,10735,local_search,True,0.8459324931011031,118.02201446322525,118.02201446322525,10,0.002001625020056963,420,80,reference_improved,14.315883845628532,1.7781803100982474,0.04379949009735092
validation,validation_003,10735,frozen_adp_safeguard,True,0.8459324931011031,129.57537800186512,129.57537800186512,10,0.13322250003693625,3736,2103,reference_safeguard,15.721544899150377,1.7781803100982474,0.05941307125935591
validation,validation_004,10736,adaptive_rollout_adp,True,0.8003097570582272,96.44589655320972,96.44589655320972,10,2.199597916973289,864701,476540,adaptive_rollout_adp,11.686899938085682,2.80753987333066,0.04253615042051259
validation,validation_004,10736,frozen_adp,True,0.8039938048588354,169.97107633157384,169.97107633157384,11,0.1378350830054842,3563,1829,learned_adp,20.64215920390892,1.7220589665880237,0.0585962290483111
validation,validation_004,10736,search_only,False,0.68786370689438,120.10978166426554,426.17792821707553,10,0.13690924999536946,4284,2555,learned_adp,14.569667832008331,1.1577715374499264,0.055540358114866184
validation,validation_004,10736,incumbent,True,0.8202787813524044,107.11371399745765,107.11371399745765,10,9.950000094249845e-05,10,0,reference_safeguard,12.986637561457158,1.7781803100982474,0.05941307125935591
validation,validation_004,10736,rollout,True,0.8202787813524044,107.11371399745765,107.11371399745765,10,0.003588333958759904,345,150,rollout_adp,12.986637561457158,1.7781803100982474,0.05941307125935591
validation,validation_004,10736,local_search,True,0.8202787813524044,107.11371399745765,107.11371399745765,10,0.0007854999857954681,204,43,reference_safeguard,12.986637561457158,1.7781803100982474,0.05941307125935591
validation,validation_004,10736,frozen_adp_safeguard,True,0.8202787813524044,107.11371399745765,107.11371399745765,10,0.1375717080081813,3573,1829,reference_safeguard,12.986637561457158,1.7781803100982474,0.05941307125935591
validation,validation_005,10737,adaptive_rollout_adp,True,0.8036826291114144,102.18732109879758,102.18732109879758,11,1.312333541980479,487751,271070,adaptive_rollout_adp,12.379798907681792,1.7781803100982474,0.04253615042051259
validation,validation_005,10737,frozen_adp,True,0.8036826291114144,165.9448839378462,165.9448839378462,11,0.10826945799635723,3147,1699,learned_adp,20.151144539078125,1.8070093861576633,0.05941307125935591
validation,validation_005,10737,search_only,False,0.7668563379972703,143.7592637505019,410.3310947518668,11,0.11365308403037488,3486,1959,learned_adp,17.44175804576952,0.8638926780564298,0.055540358114866184
validation,validation_005,10737,incumbent,True,0.8711079811004955,118.15257605478648,118.15257605478648,11,0.00010775000555440784,11,0,reference_safeguard,14.326436465548348,1.149157587355644,0.04691732613202657
validation,validation_005,10737,rollout,True,0.8342816899863513,103.22447907188642,103.22447907188642,10,0.003574125003069639,382,151,rollout_adp,12.51394222494165,1.2242946330766595,0.04284761151742663
validation,validation_005,10737,local_search,True,0.8342816899863513,114.55310566340634,114.55310566340634,9,0.0022956670145504177,487,76,reference_improved,13.900784804829398,1.0871041962737076,0.055540358114866184
validation,validation_005,10737,frozen_adp_safeguard,True,0.8711079811004955,118.15257605478648,118.15257605478648,11,0.10800487495725974,3158,1699,reference_safeguard,14.326436465548348,1.149157587355644,0.04691732613202657
validation,validation_006,10738,adaptive_rollout_adp,True,0.8064809385020585,102.56027978243755,102.56027978243755,11,0.9744172500213608,381916,228627,adaptive_rollout_adp,12.42527978533257,1.149157587355644,0.04253615042051259
validation,validation_006,10738,frozen_adp,True,0.810014119628105,160.29855892564194,160.29855892564194,12,0.08199591701850295,2657,1574,learned_adp,19.462332258766473,1.0871041962737076,0.0585962290483111
