profile_id,split,scenario_id,scenario_seed,method,adaptive_rollout_depth,success,native_goal_success,required_coverage,required_target_count,required_covered_count,missing_required_ids,coverage,covered_target_count,inspectable_sample_coverage,whole_sample_coverage,graph_cost,penalized_cost,total_delta_v,selected_count,mission_duration_s,online_time_s,base_policy_time_s,safe_action_evaluations,shield_rejections,min_clearance,peak_input,unsafe_selected_edges,required_visibility_available,required_visibility_upper_bound,available_node_count,base_success,base_graph_cost,cost_exceeds_successful_base,policy_source,route_node_ids,covered_target_mask,base_route_node_ids
required06,test,required06_test_039,202609060039,incumbent,3,False,False,0.3333333333333333,6,2,mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.1967622783019412,9,0.21951219512195122,0.1,40.48636682821154,873.8197001615449,4.903459065925027,5,450.0,0.000332667026668787,0.00033250002888962626,117,96,1.9085174912558591,0.0384879681927742,0,False,0.8333333333333334,22,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_039,202609060039,rollout,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.0003508329391479492,0.00033070798963308334,0,0,nan,nan,0,False,0.8333333333333334,22,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_039,202609060039,local_search,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.0003322079428471625,0.00031574995955452323,0,0,nan,nan,0,False,0.8333333333333334,22,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_039,202609060039,adaptive_rollout_adp,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.2797725010314025,0.0003119590110145509,108215,65303,nan,nan,0,False,0.8333333333333334,22,False,40.48636682821154,False,adaptive_rollout_adp,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_039,202609060039,coverage_only80,3,False,True,0.6666666666666666,6,4,mesh_00007;mesh_00052,0.8032377216980588,32,0.7804878048780488,0.35555555555555557,98.74055683741229,765.407223504079,11.967183755021626,10,900.0,0.36030841601314023,0.00044770800741389394,128384,76231,2.7902896567288282,0.04503981313417058,0,False,0.8333333333333334,22,False,107.9670603034888,False,adaptive_rollout_adp,cand_0005;cand_0070;cand_0068;cand_0021;cand_0015;cand_0009;cand_0066;cand_0052;cand_0051;cand_0062,2164586315383,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0021;cand_0015;cand_0052;cand_0051;cand_0066
required06,test,required06_test_040,202609060040,incumbent,3,False,False,0.3333333333333333,6,2,mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.1729860069915365,9,0.21951219512195122,0.1,40.48636682821154,873.8197001615449,4.903459065925027,5,450.0,0.00034666602732613683,0.0003464579931460321,123,102,1.9085174912558591,0.0384879681927742,0,True,1.0,23,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_040,202609060040,rollout,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.00034987495746463537,0.00033199996687471867,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_040,202609060040,local_search,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.0003413759986869991,0.0003268339787609875,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_040,202609060040,adaptive_rollout_adp,3,True,True,1.0,6,6,,0.6394811621998517,25,0.6097560975609756,0.2777777777777778,96.73112628412977,96.73112628412977,11.7416937124608,7,630.0,0.9102600000333041,0.00034591701114550233,312821,157261,2.80753987333066,0.059201291408881127,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0005;cand_0000;cand_0070;cand_0068;cand_0015;cand_0052;cand_0045,1108091434591,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_040,202609060040,coverage_only80,3,False,True,0.6666666666666666,6,4,mesh_00007;mesh_00052,0.8077933255649595,31,0.7560975609756098,0.34444444444444444,96.14616761767755,762.8128342843443,11.65872143963812,9,810.0,0.5380975419539027,0.0006589999538846314,191422,110982,3.1132871756951523,0.0585962290483111,0,True,1.0,23,False,116.63746728019795,False,adaptive_rollout_adp,cand_0005;cand_0066;cand_0052;cand_0062;cand_0051;cand_0055;cand_0068;cand_0021;cand_0016,1099434950167,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0055;cand_0051;cand_0062;cand_0066;cand_0015
required06,test,required06_test_041,202609060041,incumbent,3,False,False,0.3333333333333333,6,2,mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.17293061520960795,9,0.21951219512195122,0.1,40.48636682821154,873.8197001615449,4.903459065925027,5,450.0,0.00034170690923929214,0.00034154095919802785,123,103,1.9085174912558591,0.0384879681927742,0,True,1.0,23,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_041,202609060041,rollout,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.00036229100078344345,0.0003419159911572933,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_041,202609060041,local_search,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.00035016698529943824,0.0003343750140629709,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
