scenario_id,method,action,candidate_id,sample,time,ax,ay,az,record_basis
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,25,228.0,0.004083633224334161,-0.01605840429758766,5.131874184407324e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,26,231.0,0.004465291575093283,-0.01759221660372869,5.135455426946762e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,27,234.0,0.00483668367653417,-0.01912858484083371,5.1389775095353317e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,28,237.0,0.00519780525025566,-0.02066743930496167,5.142440391598979e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,29,240.0,0.005548652136172077,-0.022208710263530412,5.145844033245637e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,30,243.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,31,246.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,32,249.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,33,252.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,34,255.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,35,258.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,36,261.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,37,264.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,38,267.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,39,270.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,40,273.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,41,276.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,42,279.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
