method,action,sample,time_s,rx,ry,rz,vx,vy,vz,ux,uy,uz
adaptive_rollout_adp,9,16,771.0,42.14543154761029,22.43800203074194,-44.8850317068143,-0.09890087908695469,0.1478143078060911,-0.09314308662716986,0.00017424838973380182,-0.0007432141148441732,0.00036434594568381584
adaptive_rollout_adp,9,17,774.0,41.85307065275225,22.87708680621154,-45.16129906291219,-0.09601023628563383,0.1449056054665989,-0.09103497396179944,0.00047109719885390575,-0.0011900790246722485,0.0006450743230064378
adaptive_rollout_adp,9,18,777.0,41.57066464050402,23.30539322196242,-45.4299772588251,-0.09226582055871212,0.14062776873099747,-0.08808365136086982,0.0007649220557890267,-0.0016389487418917463,0.0009257952691351171
adaptive_rollout_adp,9,19,780.0,41.3007474126121,23.718796314248454,-45.688536761309166,-0.0876859182828788,0.13496911124933408,-0.08428918481848754,0.001055719575705172,-0.0020898027278024975,0.0012065055501916501
adaptive_rollout_adp,9,20,783.0,41.04579792172445,24.113136339201805,-45.934448264224365,-0.08228887570884158,0.1279181326914876,-0.07965165974294337,0.0013434864086429785,-0.0025426204208457543,0.0014872019324206898
adaptive_rollout_adp,9,21,786.0,40.80823999287074,24.484219331601366,-46.16518274677488,-0.07609309822628212,0.11946351921897644,-0.07417118095524808,0.0016282192395563038,-0.0029973812368410476,0.0017678811822270058
adaptive_rollout_adp,9,22,789.0,40.59044214714957,24.827817665048084,-46.378211531744654,-0.06911704962755764,0.10959414395106098,-0.0678478726873328,0.001909914788350417,-0.003454064569223321,0.002048540066212729
adaptive_rollout_adp,9,23,792.0,40.394717427626475,25.13967061353002,-46.57100634372697,-0.06137925137016292,0.09829906742513164,-0.06068187857991414,0.0021885698099197853,-0.0039126497892803145,0.0023291753512146044
adaptive_rollout_adp,9,24,795.0,40.2233232274464,25.415484914359993,-46.74103936734719,-0.05289828183796709,0.08556753805137317,-0.05267336168002375,0.0024641810941854526,-0.004373116246390207,0.0026097838043412334
adaptive_rollout_adp,9,25,798.0,40.078461120164235,25.65093533246862,-46.885783305477524,-0.043692775601240144,0.07138899256169638,-0.04382250443820284,0.0027367454661320254,-0.004835443268259504,0.0028903621930103213
adaptive_rollout_adp,9,26,801.0,39.96227669229712,25.841665226035524,-47.00271143744291,-0.033781422675483425,0.05575305645292827,-0.034129508705361314,0.0030062597858442454,-0.005299610161161191,0.003170907284985907
adaptive_rollout_adp,9,27,804.0,39.876859378102,25.98328711344151,-47.08929767721697,-0.02318296777907885,0.03864954442425168,-0.023594595729301737,0.003272720948543162,-0.005765596210173113,0.003451415848415611
adaptive_rollout_adp,9,28,807.0,39.82424229658199,26.07138324152442,-47.14301663160702,-0.011916209589771468,0.02006846080888598,-0.012218006150908187,0.0035361258846218985,-0.006233380679416612,0.0037318846518678535
adaptive_rollout_adp,9,29,810.0,39.80640209072506,26.101506155121363,-47.16134365842714,0.0,-4.85722573273506e-17,1.214306433183765e-17,0.0037964715596810125,-0.006702942812295403,0.00401231046436909
adaptive_rollout_adp,10,0,813.0,39.70745174003885,26.009979450209308,-47.23081106437237,-0.06603603935672053,-0.060943092373111456,-0.046311559504630964,-0.022095708471939722,-0.02038899687579013,-0.015497582212860034
adaptive_rollout_adp,10,1,816.0,39.41644411221368,25.742797386798685,-47.434429415249404,-0.12803314779297353,-0.11710814183978235,-0.08943387743199624,-0.0206161584972557,-0.018941174039602198,-0.014434677481241436
adaptive_rollout_adp,10,2,819.0,38.94558207352783,25.314207438756398,-47.7626294837067,-0.1859339849671411,-0.16855298317451428,-0.12936595815983876,-0.019127527033062967,-0.017503425517590963,-0.013371606463531412
adaptive_rollout_adp,10,3,822.0,38.30724005513041,24.738282715651213,-48.20583916575901,-0.23968151495912307,-0.2153360241238177,-0.16610687955648218,-0.017629831228252346,-0.016075812898576874,-0.01230838140620549
adaptive_rollout_adp,10,4,825.0,37.51396313644031,24.028920247470435,-48.754483701283334,-0.289219008493687,-0.2575162429818944,-0.19965579299677716,-0.016123088336134943,-0.014658397654615758,-0.01124501455751371
adaptive_rollout_adp,10,5,828.0,36.57846612188487,23.19983927663534,-49.398985894560674,-0.33449004515730457,-0.295153186149125,-0.23001192337677787,-0.014607315714243459,-0.013251241140290644,-0.010181518167339546
adaptive_rollout_adp,10,6,831.0,35.51363261099785,22.264579557366886,-50.12976633485998,-0.37543851560843067,-0.3283069656734098,-0.2571745691271478,-0.013082530824132186,-0.011854404592005017,-0.00911790448705875
adaptive_rollout_adp,10,7,834.0,34.33251406189645,21.236499662453035,-50.93724361706041,-0.41200862378118147,-0.35703825677441225,-0.2811431022252956,-0.011548751231175918,-0.010467949127277333,-0.00805418576939829
adaptive_rollout_adp,10,8,837.0,33.04832884815725,20.12877529746895,-51.81183456230804,-0.4441448890823682,-0.38140829535075343,-0.3019169682062395,-0.010005994604367519,-0.009091935744036968,-0.0069903742682951055
adaptive_rollout_adp,10,9,840.0,31.674461309111116,18.95439762250111,-52.74395443870334,-0.47179214858184393,-0.4014788754702071,-0.31949568617220153,-0.008454278716114426,-0.007726425319921522,-0.00592648223875503
adaptive_rollout_adp,10,10,843.0,30.224460793577094,17.726171581426286,-53.72401718201543,-0.49489555919611944,-0.41731234684294577,-0.33387884880093044,-0.00689362144203392,-0.006371478611575539,-0.004862521936711557
adaptive_rollout_adp,10,11,846.0,28.712040697055624,16.456714238796124,-54.74243561641949,-0.5134005998652059,-0.4289716122778863,-0.34506612235275336,-0.005324040760747168,-0.0050271562539505555,-0.0037985056188846837
adaptive_rollout_adp,10,12,849.0,27.151077492401456,15.15845312437798,-55.78962167525337,-0.5272530737226413,-0.43652012512218713,-0.3530572466763564,-0.003745554753672129,-0.0036935187596066244,-0.0027344455426396887
adaptive_rollout_adp,10,13,852.0,25.55560975399676,13.843624585402488,-56.85598662178963,-0.536399110258657,-0.4400218866839462,-0.35785203521329384,-0.002158181604815251,-0.0023706265180151983,-0.0016703539658459547
adaptive_rollout_adp,10,14,855.0,23.939837175445057,12.524272146568146,-57.93194127001922,-0.5407851674764439,-0.4395414436381516,-0.35945037500122595,-0.000561939600562017,-0.001058539794863464,-0.0006062431467357549
adaptive_rollout_adp,10,15,858.0,22.318119580806794,11.212244877853125,-59.00789620544297,-0.5403580340414728,-0.43514388541593585,-0.35785222667588523,0.0010431528705337509,0.00024268126863992673,0.0004578746562369871
adaptive_rollout_adp,10,16,861.0,20.704975929397403,9.919195770184281,-60.074262005867034,-0.5350648314238289,-0.426894841577185,-0.3530576244717713,0.002657077317961708,0.0015329766564576791,0.0015219871845378822
adaptive_rollout_adp,10,17,864.0,19.115083314168892,8.656580119013245,-61.12144946219857,-0.5248530160335176,-0.41486047916655544,-0.3450666762215742,0.00427981514946798,0.002812286478415212,0.0025860821796933053
adaptive_rollout_adp,10,18,867.0,17.563275953696134,7.435653915849293,-62.13986979923772,-0.5096703813486982,-0.39910750005294954,-0.33387956335432634,0.005911347671269369,0.00408055097089062,0.0036501473834316123
adaptive_rollout_adp,10,19,870.0,16.064544177789088,6.267472247798519,-63.119934896462205,-0.489465060036805,-0.3797031382525033,-0.31949654089228263,0.0075516560882686965,0.005337710497503112,0.00471417053782436
adaptive_rollout_adp,10,20,873.0,14.634033406752401,5.162887705158726,-64.05205750880059,-0.464185526068513,-0.3567151572351386,-0.3019179374465297,0.0092007215042713,0.006583705549800041,0.005778139385427497
adaptive_rollout_adp,10,21,876.0,13.287043124313895,4.132548797119229,-64.9266514873905,-0.4337805968245066,-0.3302118472147333,-0.2811441552113234,0.010858524922202755,0.007818476747942425,0.006842041669422589
adaptive_rollout_adp,10,22,879.0,12.03902584424359,3.186898375614673,-65.73413200031796,-0.3981994351950097,-0.3002620224229625,-0.25717566995715513,0.01252504724432769,0.009041964841389001,0.007905865133758008
adaptive_rollout_adp,10,23,882.0,10.905586070685048,2.3361720673817303,-66.46491575333395,-0.3573915516720355,-0.26693501836686506,-0.230013031022547,0.014200269272469796,0.010254110709578773,0.008969597523290122
adaptive_rollout_adp,10,24,885.0,9.902479252220953,1.5903967142674604,-67.10942121054461,-0.3113068064343142,-0.23030068907018852,-0.19965686130457608,0.015884171708232996,0.0114548553626121,0.01003322658392447
adaptive_rollout_adp,10,25,888.0,9.045610729694921,0.9593888218378877,-67.65806881507086,-0.2598954114248581,-0.19042940429856808,-0.16610785724812763,0.017576735153223746,0.012644139941930222,0.011096740062756929
adaptive_rollout_adp,10,26,891.0,8.35103467781174,0.45275301633522447,-68.1012812096741,-0.20310793242112232,-0.14739204676859322,-0.12936678883387764,0.019277940109274524,0.013821905720993335,0.01216012570821486
adaptive_rollout_adp,10,27,894.0,7.834953040538254,0.0798805100319947,-68.42948345734384,-0.14089529109771964,-0.1012600093408175,-0.0894344995650049,0.020987766978668422,0.014988094105957105,0.013223371270198271
adaptive_rollout_adp,10,28,897.0,7.513714460327356,-0.15005242496985943,-68.63310326184354,-0.07320876708164965,-0.052105192196766625,-0.04631190645263263,0.02270619606436493,0.01614264663634765,0.014286464500220902
adaptive_rollout_adp,10,29,900.0,7.403813201187548,-0.22808597444696144,-68.70257118821101,-3.0531133177191805e-16,-2.983724378680108e-16,-9.71445146547012e-17,0.024433207570226843,0.017285504985735015,0.015349393151551347
local_search,1,0,3.0,-0.045494680385305825,-35.007913314698484,10.017839947929797,-0.030335804010919072,-0.0052412222481652586,0.011893287202371691,-0.010105907869716279,-0.0017813881922581704,0.003977236584168219
local_search,1,1,6.0,-0.17891655809490087,-35.03060676629083,10.070131243924887,-0.05861759134599459,-0.009855748439651188,0.02296754332818552,-0.009409742319340627,-0.0016388081060305123,0.0037042713710665085
local_search,1,2,9.0,-0.39409596144769693,-35.066242473790766,10.154416409007444,-0.08484030089816558,-0.013871722422930744,0.033222512784779515,-0.008712950147675473,-0.0015009558620913649,0.0034312634851161195
