time,rx,ry,rz,vx,vy,vz,ax,ay,az
860.0,-5.197059034690601,-7.692878477805185,6.651722509217756,-0.25005428184633305,0.09061307343836206,-0.14164226482085554,0.0017131262701265727,-0.0010615419049666537,0.001190791387200213
861.0,-5.44614014293013,-7.602530606915807,6.510681019067935,-0.24810829434772097,0.09008193446535061,-0.14044068539016274,0.001761989775459126,-0.0010947430928248134,0.00121000317829424
862.0,-5.693254561523555,-7.512730985830918,6.370849551776287,-0.24612091420708945,0.08951655821930136,-0.13922221936264498,0.0018055756621617805,-0.0011245302716954,0.0012267100159586725
863.0,-5.93836337397952,-7.423512307995119,6.232243833688733,-0.24409709253572728,0.08892003422425974,-0.13798918724346487,0.001844276785786001,-0.001151139868879372,0.0012410979075905687
864.0,-6.181432428952306,-7.334904282371308,6.094877357166121,-0.24204140859595688,0.08829524177935698,-0.13674373649713012,0.0018784581020417981,-0.0011747928915446819,0.001253339912526203
865.0,-6.422431981602397,-7.246933836861123,5.958761547598242,-0.23995809621482225,0.08764486357771245,-0.1354878536008066,0.0019084586308383937,-0.0011956959164515085,0.0012635970340375124
866.0,-6.661336360441882,-7.159625308540684,5.823905918779755,-0.23785106834043246,0.08697139845622565,-0.13422337526718367,0.0019345932824677003,-0.0012140420167280948,0.001272019049985933
867.0,-6.898123657872468,-7.073000621553319,5.6903182174499145,-0.23572393987115894,0.08627717333118343,-0.13295199889400316,0.0019571545555881024,-0.0012300116296655016,0.0012787452863508905
868.0,-7.13277544274951,-6.987079453447722,5.558004557742844,-0.23358004887877631,0.0855643543711718,-0.131675292293436,0.0019764141159906885,-0.0012437733692520153,0.0012839053375603218
869.0,-7.365276493422327,-6.901879390700129,5.426969546243746,-0.23142247633816307,0.08483495745555773,-0.13039470275083506,0.0019926242645017106,-0.0012554847869355639,0.0012876197372806049
870.0,-7.595614549809723,-6.817416074112356,5.297216398298604,-0.2292540644682975,0.08409085796378177,-0.12911156545898722,0.002006019301790906,-0.001265293083884512,0.0012900005830718073
871.0,-7.8237800831707425,-6.73370333473368,5.168747046180408,-0.2270774337819539,0.08333379993786517,-0.1278271113708165,0.002016816797311579,-0.0012733357778126533,0.0012911521180800946
872.0,-8.049766082324636,-6.65075332091352,5.041562239673453,-0.22489499893468595,0.08256540465787428,-0.12654247451053763,0.002025218769092906,-0.0012797413272422663,0.0012911712727209958
873.0,-8.273567855161481,-6.5685766170533295,4.915661639598634,-0.2227089834573414,0.08178717866758843,-0.12525869878050866,0.002031412780634588,-0.0012846297158991236,0.0012901481691042476
874.0,-8.495182844366143,-6.487182354590086,4.791043904766685,-0.220521433450455,0.08100052128527707,-0.12397674429847143,0.0020355729607164953,-0.0012881129997644077,0.0012881665907617853
875.0,-8.714610456353912,-6.406578315709894,4.6677067728128465,-0.21833423031337898,0.0802067316322959,-0.12269749329748242,0.0020378609515293127,-0.0012902958191500936,0.0012853044200643662
876.0,-8.931851902486416,-6.326771030258604,4.545647135335201,-0.2161491025759082,0.07940701521015325,-0.12142175561861682,0.0020384267901534456,-0.0012912758780157536,0.001281634045548317
877.0,-9.146910051701846,-6.2477658662866,4.4248611077299165,-0.21396763689541082,0.07860249005476716,-0.12015027382445957,0.0020374097280617884,-0.0012911443926053737,0.0012772227412211831
878.0,-9.35978929375427,-6.16956711463714,4.305344094089565,-0.2117912882780613,0.07779419249482328,-0.11888372795947162,0.0020349389929943413,-0.00128998651135209,0.0012721330197728326
879.0,-9.570495412313408,-6.092178067961544,4.187090847505482,-0.2096213895786666,0.07698308253944637,-0.11762273998152555,0.0020311344972483176,-0.0012878817078761477,0.0012664229614860762
880.0,-9.7790354672288,-6.0156010945201155,4.070095526091695,-0.20745916032975875,0.07617004891880687,-0.11636787788723464,0.002026107496144054,-0.0012849041487864718,0.0012601465205176587
881.0,-9.988726070101361,-5.944426703983159,3.95555778849031,-0.21192594692820327,0.06618041667939623,-0.11270757288100101,-0.0045898828712882265,-0.010464106150741864,0.0036654409958231803
882.0,-10.202838817653147,-5.883252781351235,3.844704639989253,-0.21630346070379491,0.056169079441981,-0.10899870047262042,-0.004477167931655014,-0.010495817282801478,0.0037138641436926232
883.0,-10.421280837406837,-5.832101554471641,3.7375855498737196,-0.22058450268354102,0.04613498879308191,-0.10523945690654592,-0.004357186918439264,-0.010528366682692619,0.0037640957948157673
884.0,-10.643951609718552,-5.790996313039088,3.6342518862048143,-0.2247609775126852,0.036077069113307235,-0.10142784838691571,-0.004229041418223077,-0.010561764252829248,0.003816326054022631
885.0,-10.870741987402548,-5.759961430879204,3.534757120525294,-0.22882372546329446,0.025994227358814917,-0.09756166174673472,-0.004091665006947385,-0.01059600789583536,0.0038707743595199334
886.0,-11.101533025506994,-5.739022375638645,3.4391570650614525,-0.23276231072563405,0.015885368450155597,-0.09363842878642333,-0.003943779565310498,-0.0106310774775866,0.003927695813806144
887.0,-11.336194570034893,-5.728205698857252,3.3475101496390067,-0.23656475100371405,0.005749419097188659,-0.08965538250727347,-0.0037838366322676007,-0.010666925845694385,0.003987389289092163
888.0,-11.574583536154291,-5.7275389957705105,3.259877747613873,-0.24021716689328196,-0.00441463551667004,-0.08560940284822252,-0.003609937261958813,-0.01070346526757129,0.004050207924368369
889.0,-11.816541779864647,-5.737050818441497,3.1763245629464594,-0.24370331940837314,-0.0146076951198742,-0.08149694866205932,-0.0034197202852263233,-0.010740546580204529,0.0041165728864273
890.0,-12.061813374268384,-5.756502485475925,3.096814946746971,-0.2468436794635887,-0.024294454649558275,-0.07752226677499303,-0.0030505010234384324,-0.010241743735656868,0.0039786962426075784
891.0,-12.31001273711885,-5.785242268383104,3.021152879056958,-0.24955855756137343,-0.033184087324059836,-0.07380185246391313,-0.0026030549434981967,-0.0094512416396546,0.0037243293846018657
892.0,-12.560729359744174,-5.822501680222315,2.94909272157498,-0.25187792160735445,-0.04133386167074002,-0.07031844712732559,-0.0021873052053950452,-0.008717079199368729,0.0034872258938674836
893.0,-12.81358172936667,-5.86756748606204,2.880405502665939,-0.25382979398216043,-0.048797013914348125,-0.06705597603759292,-0.0018011827836163057,-0.008035289722162949,0.003266201592926063
894.0,-13.06821544539953,-5.91977781202315,2.814877774165095,-0.25544037529019553,-0.05562303062194138,-0.0639994669849516,-0.0014427510979338337,-0.00740218489800252,0.0030601536808746816
895.0,-13.324301455604605,-5.978518527080517,2.7523105467418127,-0.25673416032565316,-0.061857911577762915,-0.06113497451403886,-0.001110197620464732,-0.006814335300626171,0.0028680551394640514
896.0,-13.581534404570256,-6.043219878543339,2.692518298422765,-0.25773404673977446,-0.06754441426853794,-0.05844950936847306,-0.0008018260094640635,-0.006268552252114553,0.0026889495237296585
897.0,-13.839631087437416,-6.113353363466788,2.635328051245551,-0.25846143686365575,-0.07272228126341318,-0.05593097278546113,-0.0005160487371618401,-0.0057618709556822925,0.002521946110739633
898.0,-14.098329002242416,-6.188428819487063,2.5805785113594033,-0.2589363331130014,-0.07742845168322852,-0.05356809530701961,-0.000251380180957609,-0.005291534808153514,0.00236621538184045
899.0,-14.357384994658377,-6.267991719724927,2.528119268211625,-0.25917742737499455,-0.08169725787050554,-0.05135037979731616,-6.4301491659556065e-06,-0.004854980809752068,0.002220984815474046
900.0,-14.61657398930487,-6.3516206574754746,2.477810048758199,-0.25920218475282514,-0.08556060829403314,-0.04926804837698345,0.00022010218572626403,-0.004449825994579617,0.0020855349692159926
901.0,-14.875687802159517,-6.438925007399671,2.4295200229162424,-0.2590269220202695,-0.0890481576498226,-0.04731199300513508,0.00042943397166990416,-0.004073854810496969,0.0019591958311521167
902.0,-15.13453402894675,-6.529542750861436,2.3831271567359775,-0.25866688111697955,-0.09218746505311683,-0.045473729458324,0.0006227040033491733,-0.003725007382094455,0.0018413434220778129
903.0,-15.392935004699396,-6.623138453917526,2.338517610012038,-0.25813629799471965,-0.09500414115372414,-0.043745354472922736,0.000800977712515763,-0.0034013685950615054,0.0017313966312771378
904.0,-15.650726829989432,-6.719401387270686,2.2955851752794225,-0.25744846710561464,-0.09752198494887886,-0.04211950583345796,0.000965251843337088,-0.003101157944568048,0.0016288142698241883
905.0,-15.907758459606297,-6.818043778243754,2.254230755349398,-0.2566158018054633,-0.09976311101380836,-0.04058932520438195,0.0011164588324407178,-0.002822720094273142,0.0015330923264530987
906.0,-16.163890849725796,-6.918799185527416,2.214361876736216,-0.25564989092826257,-0.1017480678199269,-0.039148423516685564,0.0012554709121220982,-0.0025645160963003264,0.0014437614120710377
907.0,-16.4189961598608,-7.021420988100872,2.1758922365076145,-0.25456155177220885,-0.10349594776381914,-0.037790848733722335,0.001383103954041641,-0.0023251152259839165,0.0013603843799458724
908.0,-16.672957006117823,-7.125680980326091,2.1387412802616708,-0.2533608797225361,-0.10502448948667685,-0.036511055832687225,0.0015001210696653465,-0.002103187388413773,0.001282554109491695
909.0,-16.925665762501843,-7.231368065775715,2.102833809090507,-0.2520572947225556,-0.10635017302338504,-0.03530387884943711,0.0016072359826971479,-0.0018974960568049794,0.0012098914424056412
910.0,-17.177023907216658,-7.338287042875105,2.06809961353843,-0.25065958479112377,-0.10748830828280591,-0.034164504844811004,0.0017051161878059232,-0.0017068917055086258,0.0011420432606825631
911.0,-17.426941411099993,-7.446257475923001,2.0344731326990475,-0.24917594677243296,-0.10845311732578673,-0.03308844966035894,0.0017943859090632265,-0.0015303057030754443,0.0010786806967541364
912.0,-17.675336165512817,-7.555112645505546,2.00189313672346,-0.24761402449244524,-0.10925781087483626,-0.032071535340469005,0.0018756288706746303,-0.0013667446331986598,0.001019497466669477
913.0,-17.92213344717113,-7.664698572737173,1.9703024311304063,-0.24598094448542507,-0.1099146594591048,-0.03110986910633853,0.0019493908918058744,-0.0012152850136086628,0.0009642083178587524
914.0,-18.16726541756691,-7.774873112151409,1.9396475814198557,-0.2442833494438327,-0.11043505957010719,-0.030199823775110355,0.0020161823165709067,-0.0010750683850818798,0.0009125475836027576
