split,scenario_id,scenario_seed,method,success,coverage,graph_cost,penalized_cost,selected_count,online_time_s,safe_action_evaluations,shield_rejections,policy_source,total_delta_v,min_clearance,peak_input
test,test_024,20767,frozen_adp,True,0.8107010760102089,175.09646606712232,175.09646606712232,12,0.22100111498730257,4166,2225,learned_adp,21.259749431500346,1.8070093861576633,0.05941307125935591
test,test_024,20767,search_only,True,0.8209870964961715,157.24654250729466,157.24654250729466,11,0.2498627890017815,4642,2487,learned_adp,19.087339082469093,1.0871041962737076,0.05858419313244918
test,test_024,20767,incumbent,True,0.8209870964961715,109.96777254041513,109.96777254041513,10,0.00015185799566097558,10,0,reference_safeguard,13.332463375371146,1.7781803100982474,0.05694549534924951
test,test_024,20767,rollout,True,0.8209870964961715,100.88429229156621,100.88429229156621,10,0.005170394986635074,363,137,rollout_adp,12.227343811399308,1.7781803100982474,0.04253615042051259
test,test_024,20767,local_search,True,0.8209870964961715,100.88429229156621,100.88429229156621,10,0.002907443995354697,450,81,reference_improved,12.227343811399308,1.7781803100982474,0.04253615042051259
test,test_024,20767,frozen_adp_safeguard,True,0.8209870964961715,109.96777254041513,109.96777254041513,10,0.22098115499829873,4176,2225,reference_safeguard,13.332463375371146,1.7781803100982474,0.05694549534924951
test,test_025,20769,adaptive_rollout_adp,True,0.802525683450789,93.98445159394238,93.98445159394238,9,0.5533223120146431,149749,78753,adaptive_rollout_adp,11.394062178107452,2.7902896567288282,0.04503981313417058
test,test_025,20769,frozen_adp,True,0.8420205467606313,164.6148334341778,164.6148334341778,12,0.22406725498149171,4515,2476,learned_adp,19.98370719000293,0.8473828811905011,0.0585962290483111
test,test_025,20769,search_only,True,0.802525683450789,111.81044041996701,111.81044041996701,11,0.21413890598341823,4534,2661,learned_adp,13.552515470675981,1.149157587355644,0.04898321683814787
test,test_025,20769,incumbent,True,0.802525683450789,128.5325004792545,128.5325004792545,11,0.00015620599151588976,11,0,reference_safeguard,15.586358759771029,0.8473828811905011,0.05694549534924951
test,test_025,20769,rollout,True,0.802525683450789,118.6070368509139,118.6070368509139,11,0.0074230080062989146,589,131,rollout_adp,14.379083788321774,1.0871041962737076,0.055540358114866184
test,test_025,20769,local_search,True,0.802525683450789,86.40837013821212,86.40837013821212,10,0.012640712986467406,1137,58,reference_improved,10.46705992712161,1.149157587355644,0.048074778454512024
test,test_025,20769,frozen_adp_safeguard,True,0.802525683450789,128.5325004792545,128.5325004792545,11,0.22647799699916504,4526,2476,reference_safeguard,15.586358759771029,0.8473828811905011,0.05694549534924951
test,test_026,20770,adaptive_rollout_adp,True,0.8005431334784485,93.63580923428877,93.63580923428877,9,0.7326253200008068,199116,115490,adaptive_rollout_adp,11.352427500044183,0.8473828811905011,0.0585962290483111
test,test_026,20770,frozen_adp,True,0.8603801934349139,172.66974745309258,172.66974745309258,12,0.17362162499921396,3276,1693,learned_adp,20.965278220340682,0.9222599166818104,0.0585962290483111
test,test_026,20770,search_only,False,0.7549864216630386,139.85229886515964,412.3590880336403,11,0.18617316900053993,3760,2184,learned_adp,16.96764313813739,1.0871041962737076,0.05951490068870389
test,test_026,20770,incumbent,True,0.8204888201306036,104.29439920888696,104.29439920888696,10,0.00014978399849496782,10,0,reference_safeguard,12.641794008773408,1.7781803100982474,0.05941307125935591
test,test_026,20770,rollout,True,0.8005431334784485,94.99887491841662,94.99887491841662,10,0.005029518011724576,355,137,rollout_adp,11.510536222377231,1.7781803100982474,0.04284761151742663
test,test_026,20770,local_search,True,0.8204888201306036,95.19445444644406,95.19445444644406,10,0.006837076012743637,660,116,reference_improved,11.534544663356588,1.7781803100982474,0.04284761151742663
test,test_026,20770,frozen_adp_safeguard,True,0.8204888201306036,104.29439920888696,104.29439920888696,10,0.1745558549882844,3286,1693,reference_safeguard,12.641794008773408,1.7781803100982474,0.05941307125935591
test,test_027,20771,adaptive_rollout_adp,True,0.8032020924728853,93.15399014962983,93.15399014962983,10,0.8862854239996523,230366,126050,adaptive_rollout_adp,11.288289843761763,0.8473828811905011,0.0585962290483111
test,test_027,20771,frozen_adp,True,0.8039359581505423,174.7091673126691,174.7091673126691,12,0.2714129439846147,4540,2343,learned_adp,21.21015935543846,0.3126404740316717,0.059205790001008125
test,test_027,20771,search_only,False,0.7842561673978308,149.57405241967376,407.4459687207584,12,0.2444608009827789,4219,2277,learned_adp,18.144881249173885,1.0871041962737076,0.05694549534924951
test,test_027,20771,incumbent,True,0.8032020924728853,108.23351533081154,108.23351533081154,11,0.00016076501924544573,11,0,reference_safeguard,13.117138435333684,0.9109685076687651,0.0585962290483111
test,test_027,20771,rollout,True,0.8032020924728853,93.95818311097521,93.95818311097521,10,0.007837804005248472,498,134,rollout_adp,11.386588405221328,1.0871041962737076,0.0585962290483111
test,test_027,20771,local_search,True,0.8032020924728853,100.07178225923803,100.07178225923803,10,0.011557166988495737,1119,94,reference_improved,12.13230742849856,1.2242946330766595,0.0585962290483111
test,test_027,20771,frozen_adp_safeguard,True,0.8032020924728853,108.23351533081154,108.23351533081154,11,0.2699132199923042,4551,2343,reference_safeguard,13.117138435333684,0.9109685076687651,0.0585962290483111
test,test_028,20772,adaptive_rollout_adp,True,0.8039614966825906,97.24257494509528,97.24257494509528,11,0.7038115579925943,184496,92420,adaptive_rollout_adp,11.778124860424033,1.7781803100982474,0.04253615042051259
test,test_028,20772,frozen_adp,True,0.8059978274947179,154.16045370160586,154.16045370160586,11,0.19264003401622176,3506,1771,learned_adp,18.71855203797672,1.380897249801525,0.0585962290483111
test,test_028,20772,search_only,False,0.784154013269637,143.387132118906,401.31012548408756,11,0.22315238797455095,4466,2564,learned_adp,17.397751975051737,1.0068669037170157,0.059191843568645916
test,test_028,20772,incumbent,True,0.8039614966825906,103.51807637430593,103.51807637430593,11,0.00015714799519628286,11,0,reference_safeguard,12.540566718013434,1.7781803100982474,0.04253615042051259
test,test_028,20772,rollout,True,0.8039614966825906,97.24257494509528,97.24257494509528,11,0.0059361270105000585,429,148,rollout_adp,11.778124860424033,1.7781803100982474,0.04253615042051259
test,test_028,20772,local_search,True,0.8039614966825906,97.24257494509528,97.24257494509528,11,0.004842292983084917,616,85,reference_improved,11.778124860424033,1.7781803100982474,0.04253615042051259
test,test_028,20772,frozen_adp_safeguard,True,0.8039614966825906,103.51807637430593,103.51807637430593,11,0.1982007680053357,3517,1771,reference_safeguard,12.540566718013434,1.7781803100982474,0.04253615042051259
test,test_029,20774,adaptive_rollout_adp,True,0.8073644577652878,114.00368191615374,114.00368191615374,9,0.7765001009975094,210314,125285,adaptive_rollout_adp,13.835032220005173,1.7987818850562964,0.05858419313244918
test,test_029,20774,frozen_adp,True,0.8458915662122302,154.69786132902087,154.69786132902087,11,0.18849182399571873,3588,1911,learned_adp,18.7836737556981,1.8070093861576633,0.0585962290483111
test,test_029,20774,search_only,False,0.7215308735699191,144.78672638731834,434.0212896023588,11,0.20400206599151716,4327,2596,learned_adp,17.568505525831814,0.9222599166818104,0.059191843568645916
test,test_029,20774,incumbent,True,0.8458915662122302,117.6328650168496,117.6328650168496,10,0.00014797100448049605,10,0,reference_safeguard,14.269437477413907,1.7781803100982474,0.05951490068870389
test,test_029,20774,rollout,True,0.8073644577652878,115.03484167951476,115.03484167951476,10,0.006186492013512179,393,138,rollout_adp,13.954623854274631,0.3126404740316717,0.05941307125935591
test,test_029,20774,local_search,True,0.8073644577652878,103.3741911747468,103.3741911747468,9,0.003965309006161988,565,99,reference_improved,12.538959174805171,1.7781803100982474,0.043531041305857686
test,test_029,20774,frozen_adp_safeguard,True,0.8458915662122302,117.6328650168496,117.6328650168496,10,0.1891756890108809,3598,1911,reference_safeguard,14.269437477413907,1.7781803100982474,0.05951490068870389
ood,ood_000,30734,adaptive_rollout_adp,True,0.8016424536590772,90.09617432155946,90.09617432155946,8,0.23589785301010124,63459,40193,adaptive_rollout_adp,10.92607734017772,2.7902896567288282,0.04503981313417058
ood,ood_000,30734,frozen_adp,False,0.5827220355902042,94.3195485159093,452.95853072080723,7,0.09234659399953671,2364,1522,learned_adp,11.451690113126848,1.8070093861576633,0.055540358114866184
ood,ood_000,30734,search_only,False,0.667732412593457,93.64770600775135,409.7814997110229,8,0.10421176499221474,2722,1768,learned_adp,11.360477258109539,1.149157587355644,0.055540358114866184
ood,ood_000,30734,incumbent,True,0.8158108498262859,98.6308799813975,98.6308799813975,9,0.00012867400073446333,9,0,reference_safeguard,11.95891267628356,1.7781803100982474,0.05694549534924951
ood,ood_000,30734,rollout,True,0.8158108498262859,98.6308799813975,98.6308799813975,9,0.004269155993824825,314,132,rollout_adp,11.95891267628356,1.7781803100982474,0.05694549534924951
ood,ood_000,30734,local_search,True,0.8158108498262859,98.6308799813975,98.6308799813975,9,0.0009827130124904215,161,34,reference_safeguard,11.95891267628356,1.7781803100982474,0.05694549534924951
ood,ood_000,30734,frozen_adp_safeguard,True,0.8158108498262859,98.6308799813975,98.6308799813975,9,0.09236855601193383,2373,1522,reference_safeguard,11.95891267628356,1.7781803100982474,0.05694549534924951
ood,ood_001,30737,adaptive_rollout_adp,True,0.8185549202057439,91.27028256803017,91.27028256803017,8,0.2720081369916443,72860,43961,adaptive_rollout_adp,11.068360899261055,2.80753987333066,0.04559327651505487
ood,ood_001,30737,frozen_adp,True,0.8170498005312847,148.3953784588295,148.3953784588295,11,0.13556023201090284,3103,1841,learned_adp,18.014404654292587,1.8070093861576633,0.05941307125935591
ood,ood_001,30737,search_only,True,0.8464695478663987,113.35408198104594,113.35408198104594,9,0.17139922600472346,3714,2043,learned_adp,13.754649476195299,2.924298375321733,0.055184359871914224
ood,ood_001,30737,incumbent,True,0.8604268616967262,102.84994217598691,102.84994217598691,9,0.0001342250034213066,9,0,reference_safeguard,12.472147525132677,1.7781803100982474,0.04285214028993136
ood,ood_001,30737,rollout,True,0.8185549202057439,101.82908547736976,101.82908547736976,8,0.0038898769998922944,291,131,rollout_adp,12.353763207138105,1.7781803100982474,0.0594130724659107
ood,ood_001,30737,local_search,True,0.8325122340360713,99.2661975046877,99.2661975046877,7,0.0017247610085178167,250,49,reference_improved,12.049642616474346,1.7220589665880237,0.055540358114866184
ood,ood_001,30737,frozen_adp_safeguard,True,0.8604268616967262,102.84994217598691,102.84994217598691,9,0.136231284996029,3112,1841,reference_safeguard,12.472147525132677,1.7781803100982474,0.04285214028993136
ood,ood_002,30740,adaptive_rollout_adp,True,0.8052839296915116,93.99512201119751,93.99512201119751,8,0.2129135630093515,55706,32572,adaptive_rollout_adp,11.399985374637394,2.80753987333066,0.04253615042051259
ood,ood_002,30740,frozen_adp,False,0.34005465653231315,60.37055977221392,540.3432315060574,4,0.05679633701220155,1280,735,learned_adp,7.331957704458192,0.21960672263981085,0.04730356039675092
ood,ood_002,30740,search_only,False,0.6898471512272011,120.54159760221364,425.6180219886131,9,0.11229242599802092,2861,1805,learned_adp,14.631231685467144,1.7220589665880237,0.055540358114866184
ood,ood_002,30740,incumbent,True,0.8331005111641528,108.25109594615036,108.25109594615036,9,0.00013315200340002775,9,0,reference_safeguard,13.132707876730581,0.3126404740316717,0.05951490068870389
ood,ood_002,30740,rollout,True,0.8331005111641528,108.07559395782727,108.07559395782727,9,0.004100495978491381,304,125,rollout_adp,13.110775669547449,0.3126404740316717,0.05941307125935591
ood,ood_002,30740,local_search,True,0.8331005111641528,108.07559395782727,108.07559395782727,9,0.0015573730051983148,287,70,reference_improved,13.110775669547449,0.3126404740316717,0.05941307125935591
ood,ood_002,30740,frozen_adp_safeguard,True,0.8331005111641528,108.25109594615036,108.25109594615036,9,0.05699817798449658,1289,735,reference_safeguard,13.132707876730581,0.3126404740316717,0.05951490068870389
ood,ood_003,30747,adaptive_rollout_adp,True,0.802655363761868,70.86722585236689,70.86722585236689,7,0.5236973959836178,139590,74650,adaptive_rollout_adp,8.590896457439563,4.047226057779389,0.0585962290483111
ood,ood_003,30747,frozen_adp,True,0.8289679819269522,139.31274681528447,139.31274681528447,9,0.1853268060076516,3529,1835,learned_adp,16.919262886422732,1.8070093861576633,0.059205790001008125
ood,ood_003,30747,search_only,True,0.8684369091745787,124.58294205108736,124.58294205108736,10,0.19240119098685682,3957,2241,learned_adp,15.118047594863816,1.0871041962737076,0.05858419313244918
ood,ood_003,30747,incumbent,True,0.8158116728444101,93.79246027187772,93.79246027187772,8,0.0001275510003324598,8,0,reference_safeguard,11.375869197095424,1.7781803100982474,0.0594130724659107
ood,ood_003,30747,rollout,True,0.802655363761868,88.96176345253708,88.96176345253708,8,0.0042253920109942555,263,122,rollout_adp,10.786509085176617,1.7781803100982474,0.04253615042051259
ood,ood_003,30747,local_search,True,0.8158116728444101,90.75236491519944,90.75236491519944,8,0.00134545101900585,218,50,reference_improved,11.004538568330679,1.7781803100982474,0.05941307125935591
ood,ood_003,30747,frozen_adp_safeguard,True,0.8158116728444101,93.79246027187772,93.79246027187772,8,0.18910578900249675,3537,1835,reference_safeguard,11.375869197095424,1.7781803100982474,0.0594130724659107
ood,ood_004,30748,adaptive_rollout_adp,True,0.8142510273160397,84.03135243875178,84.03135243875178,8,0.7767364970059134,209158,119123,adaptive_rollout_adp,10.188355277083708,4.047226057779389,0.0585962290483111
ood,ood_004,30748,frozen_adp,True,0.8916464326010232,186.23019134722657,186.23019134722657,13,0.19074905299930833,3488,1838,learned_adp,22.608229104748244,1.8070093861576633,0.059191843568645916
ood,ood_004,30748,search_only,True,0.8297301083730364,137.5869255343579,137.5869255343579,12,0.30217295899637975,5446,3016,learned_adp,16.685300766746956,1.1577715374499264,0.059201291408881127
ood,ood_004,30748,incumbent,True,0.8142510273160397,96.72707340029635,96.72707340029635,9,0.0003693999897222966,9,0,reference_safeguard,11.728112144812629,1.7781803100982474,0.05951490068870389
ood,ood_004,30748,rollout,True,0.8142510273160397,94.16986232281174,94.16986232281174,9,0.0051144589961040765,303,138,rollout_adp,11.415413294356293,1.7781803100982474,0.05941307125935591
ood,ood_004,30748,local_search,True,0.8142510273160397,94.16986232281174,94.16986232281174,9,0.002478069014614448,301,68,reference_improved,11.415413294356293,1.7781803100982474,0.05941307125935591
ood,ood_004,30748,frozen_adp_safeguard,True,0.8142510273160397,96.72707340029635,96.72707340029635,9,0.18972486097482033,3497,1838,reference_safeguard,11.728112144812629,1.7781803100982474,0.05951490068870389
ood,ood_005,30750,adaptive_rollout_adp,True,0.8249059134991195,92.39172373509476,92.39172373509476,7,0.18510298599721864,49609,30228,adaptive_rollout_adp,11.212046727975798,1.7220589665880237,0.055540358114866184
ood,ood_005,30750,frozen_adp,False,0.6410684445607392,101.47383717024107,430.9396148898715,7,0.10994844799279235,2746,1625,learned_adp,12.322065783694802,1.7220589665880237,0.04898321683814787
ood,ood_005,30750,search_only,False,0.7488186516382042,138.6541943931326,414.24486857403053,9,0.11465821898309514,2801,1628,learned_adp,16.83296627390823,0.9222599166818104,0.05694549534924951
ood,ood_005,30750,incumbent,True,0.8249059134991195,97.81298488310347,97.81298488310347,7,0.00011243298649787903,7,0,reference_safeguard,11.872622346442816,1.7220589665880237,0.055540358114866184
ood,ood_005,30750,rollout,True,0.8249059134991195,92.39172373509476,92.39172373509476,7,0.004108722001546994,266,76,rollout_adp,11.212046727975798,1.7220589665880237,0.055540358114866184
